Name,Entity,# Democrats,# Liberal not Dems,# Republicans,# Conservative not Reps,Unknown,Veto-Proof vs Balanced
Albany,County,28,0,11,0,0,Veto-Proof (D)
Allegany,County,0,0,15,0,0,Veto-Proof (R)
Broome,County,6,0,9,0,0,Balanced (R)
Cattaraugus,County,4,0,13,0,0,Veto-Proof (R)
Cayuga,County,5,0,6,0,0,Balanced (R)
Chautauqua,County,4,0,15,0,0,Veto-Proof (R)
Chemung,County,3,0,12,0,0,Veto-Proof (R)
Chenango,County,0,0,23,0,0,Veto-Proof (R)
Clinton,County,6,0,4,0,0,Balanced (D)
Columbia,County,10,0,13,0,0,Balanced (R)
Cortland,County,6,0,11,0,0,Balanced (R)
Delaware,County,1,0,18,0,0,Veto-Proof (R)
Dutchess,County,12,0,13,0,0,Balanced (R)
Erie,County,7,0,4,0,0,Balanced (D)
Essex,County,2,0,16,0,0,Veto-Proof (R)
Franklin,County,4,0,3,0,0,Balanced (D)
Fulton,County,1,0,19,0,0,Veto-Proof (R)
Genesee,County,0,0,9,0,0,Veto-Proof (R)
Greene,County,3,0,11,0,0,Veto-Proof (R)
Hamilton,County,0,0,9,0,0,Veto-Proof (R)
Herkimer,County,3,0,14,0,0,Veto-Proof (R)
Jefferson,County,2,0,13,0,0,Veto-Proof (R)
Lewis,County,0,0,10,0,0,Veto-Proof (R)
Livingston,County,1,0,16,0,0,Veto-Proof (R)
Madison,County,3,0,16,0,0,Veto-Proof (R)
Monroe,County,15,0,14,0,0,Balanced (D)
Montgomery,County,3,0,6,0,0,Balanced (R)
Nassau,County,7,0,12,0,0,Balanced (R)
Niagara,County,3,0,12,0,0,Veto-Proof (R)
Oneida,County,7,0,16,0,0,Balanced (R)
Onondaga,County,6,0,11,0,0,Balanced (R)
Ontario,County,3,0,18,0,0,Veto-Proof (R)
Orange,County,7,0,14,0,0,Balanced (R)
Orleans,County,0,0,7,0,0,Veto-Proof (R)
Oswego,County,3,0,22,0,0,Veto-Proof (R)
Otsego,County,5,0,9,0,0,Balanced (R)
Putnam,County,1,0,8,0,0,Veto-Proof (R)
Rensselaer,County,6,0,13,0,0,Balanced (R)
Rockland,County,10,0,7,0,0,Balanced (D)
Saratoga,County,4,0,19,0,0,Veto-Proof (R)
Schenectady,County,12,0,3,0,0,Veto-Proof (D)
Schoharie,County,1,0,15,0,0,Veto-Proof (R)
Schuyler,County,0,0,8,0,0,Veto-Proof (R)
Seneca,County,4,0,10,0,0,Veto-Proof (R)
St. Lawrence,County,6,0,9,0,0,Balanced (R)
Steuben,County,0,0,17,0,0,Veto-Proof (R)
Suffolk,County,6,0,12,0,0,Balanced (R)
Sullivan,County,4,0,5,0,0,Balanced (R)
Tioga,County,0,0,9,0,0,Veto-Proof (R)
Tompkins,County,12,0,2,0,0,Veto-Proof (D)
Ulster,County,15,0,8,0,0,Balanced (D)
Warren,County,5,0,15,0,0,Veto-Proof (R)
Washington,County,1,0,16,0,0,Veto-Proof (R)
Wayne,County,0,0,15,0,0,Veto-Proof (R)
Westchester,County,15,0,1,1,0,Veto-Proof (D)
Wyoming,County,0,0,16,0,0,Veto-Proof (R)
Yates,County,0,0,14,0,0,Veto-Proof (R)