Entity,Metric,Value,Doc_Key,Page_Ref
yonkers,population_2024_estimate,"211,569",yonkers_acfr_2024,iv
new_rochelle,population_2024_estimate,85512,nr_census_2024,
yonkers,population_2020,"210,995",yonkers_pop_2020,
new_rochelle,population_2020,79751,nr_census_2024,
yonkers,median_household_income,"$81,455",yonkers_census_2023,
new_rochelle,median_household_income,"$104,236",nr_census_2023,
yonkers,violent_crime_rate_per_100k,454,yonkers_crime_2023,
new_rochelle,violent_crime_rate_per_100k,171,nr_crime_2024,
yonkers,property_crime_rate_per_100k,1758,yonkers_crime_2023,
new_rochelle,property_crime_rate_per_100k,1394,nr_crime_2024,
yonkers,total_revenue,1676570000,yonkers_acfr_2024,18
new_rochelle,total_revenue,279636000,nr_acfr_2024,13
yonkers,total_expenditures,1645643000,yonkers_acfr_2024,18
new_rochelle,total_expenditures,275621000,nr_acfr_2024,13
yonkers,unassigned_fund_balance,106842000,yonkers_acfr_2024,20
new_rochelle,unassigned_fund_balance,28331000,nr_acfr_2024,15
yonkers,total_government_fte,1738,yonkers_acfr_2024,179
new_rochelle,total_government_fte,1121,nr_acfr_2024,167
yonkers,police_fte,540,yonkers_acfr_2024,179
new_rochelle,police_fte,162,nr_acfr_2024,168
yonkers,fire_fte,268,yonkers_acfr_2024,179
new_rochelle,fire_fte,119,nr_acfr_2024,168
yonkers,public_works_fte,276,yonkers_acfr_2024,179
new_rochelle,public_works_fte,108,nr_acfr_2024,168
yonkers,general_government_fte,250,yonkers_acfr_2024,179
new_rochelle,general_government_fte,269,nr_acfr_2024,168
yonkers,parks_fte,60,yonkers_acfr_2024,179
new_rochelle,parks_fte,41,nr_acfr_2024,168
yonkers,housing_fte,0,yonkers_acfr_2024,179
new_rochelle,housing_fte,0,nr_acfr_2024,168
yonkers,health_fte,0,yonkers_acfr_2024,179
new_rochelle,health_fte,0,nr_acfr_2024,168
yonkers,community_development_fte,49,yonkers_acfr_2024,179
new_rochelle,community_development_fte,57,nr_acfr_2024,168
yonkers,transit_fte,0,yonkers_acfr_2024,179
new_rochelle,transit_fte,0,nr_acfr_2024,168
yonkers,solid_waste_fte,0,yonkers_acfr_2024,179
new_rochelle,solid_waste_fte,0,nr_acfr_2024,168
yonkers,water_fte,246,yonkers_acfr_2024,179
new_rochelle,water_fte,105,nr_acfr_2024,168
yonkers,sewer_fte,0,yonkers_acfr_2024,179
new_rochelle,sewer_fte,0,nr_acfr_2024,168
yonkers,street_maintenance_fte,0,yonkers_acfr_2024,179
new_rochelle,street_maintenance_fte,0,nr_acfr_2024,168
yonkers,other_fte,49,yonkers_acfr_2024,179
new_rochelle,other_fte,0,nr_acfr_2024,168
yonkers,total_debt,873682000,yonkers_acfr_2024,25
new_rochelle,total_debt,178705000,nr_acfr_2024,20
yonkers,total_pension_liability,540216000,yonkers_acfr_2024,79
new_rochelle,total_pension_liability,124866000,nr_acfr_2024,74
yonkers,total_opeb_liability,966476000,yonkers_acfr_2024,89
new_rochelle,total_opeb_liability,25039000,nr_acfr_2024,80
yonkers,net_position,1457058000,yonkers_acfr_2024,11
new_rochelle,net_position,470209000,nr_acfr_2024,10
yonkers,property_tax_levy,381800000,yonkers_acfr_2024,169
new_rochelle,property_tax_levy,133885000,nr_acfr_2024,150
yonkers,sales_tax_revenue,178229000,shared_sales_tax_2024,
new_rochelle,sales_tax_revenue,35820000,shared_sales_tax_2024,
yonkers,median_property_value,508200,yonkers_census_2023,
new_rochelle,median_property_value,726600,nr_census_2023,
yonkers,median_rent,1640,yonkers_census_2023,
new_rochelle,median_rent,2413,nr_census_2023,
yonkers,unemployment_rate,4.5,shared_it201_2024,
new_rochelle,unemployment_rate,3.7,shared_it201_2024,
yonkers_schools,education_expenses,494163000,yonkers_acfr_2024,162
new_rochelle_schools,education_expenses,139911000,nr_school_audit_2024,18
yonkers_schools,dept_of_ed_fte,4810,yonkers_acfr_2024,179
new_rochelle_schools,dept_of_ed_fte,1291,nr_school_audit_2024,24
yonkers_schools,education_active_employees_opeb,2413,yonkers_acfr_2024,92
yonkers_schools,state_aid_capital_education,13900000,yonkers_acfr_2024,166
yonkers_schools,state_aid_operational_education,160799000,yonkers_acfr_2024,166
yonkers_schools,federal_aid_capital_education,0,yonkers_acfr_2024,166
yonkers_schools,federal_aid_operational_education,42490000,yonkers_acfr_2024,166
yonkers_schools,total_educational_revenues,480220000,yonkers_acfr_2024,166